id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
1663,Love Touch,0,"Comedy, Drama, Romance",2013,2013-05-08,,Telugu,$100000,"Jayanth Reddy,Dhriti Saharan",http://www.imdb.com/title/tt3056982/?ref_=adv_li_tt
1664,Love ante,135,Drama,2013,2013-02-14,Venkat Reddy,Telugu,0,Ramesh,http://www.imdb.com/title/tt3434434/?ref_=adv_li_tt
1665,Love in Singapore,0,"Action, Drama, Romance",1980,1980-09-27,Baby,Telugu,0,"Prem Nazir,Jayan,Jose Prakash,Latha,Madeline Teo,Prathapachandran,Kaviyoor Ponnamma,Steven Thoo,Peter Chong,B. Thyagarajan",http://www.imdb.com/title/tt0246046/?ref_=adv_li_tt
1666,Lovely,0,Romance,2012,2012-03-30,Jaya B.,Telugu,0,"Aadi,Shanvi Srivastava,Rajendraprasad,Chinmayi Ghatrazu,Vennela Kishore,Harshavardhan,Satya Krishnan,Rahul Dev,Gopalakrishna Paruchuri,Aahuthi Prasad,Tanikella Bharani,Kasi Viswanath,Mohan Duvvasi,Narsing Yadav,Vinaya Prasad",http://www.imdb.com/title/tt2334727/?ref_=adv_li_tt
1667,Lovers,0,Romance,2014,2014-08-15,Harinath,Telugu,0,"Sumanth Ashwin,Tejaswi Madivada,Nandita Raj",http://www.imdb.com/title/tt4226230/?ref_=adv_li_tt
1668,Lovestory 1999,0,Romance,1998,1998,K. Raghavendra Rao,Telugu,50000000,"Ananth,Annapoorna,Ravi Babu,Brahmanandam,Gundu Hanumantha Rao,Jayachitra,Ramya Krishnan,Laila,Prabhudheva,Prakash Raj,Rambha,Junior Relangi,Srilakshmi,Sudhakar,Naveen Vadde",http://www.imdb.com/title/tt1579801/?ref_=adv_li_tt
1669,Loyola College,150,Romance,2001,2001,Rajendra Kumar,Telugu,0,"Brahmanandam,Laya,Sivaji",http://www.imdb.com/title/tt1575619/?ref_=adv_li_tt
1670,Lucky,0,Comedy,2012,2012-11-01,Hari,Telugu,40000000,"Srikanth,Meghana Raj,Ali,Raghu Babu,Brahmanandam,Jayasudha,Thagubothu Ramesh,Roja,Sana,A.V.S. Subramanyam,Dharmavarapu Subramanyam",http://www.imdb.com/title/tt3407422/?ref_=adv_li_tt
1671,Luv U Alia,130,"Family, Romance",2015,2015-09-17,Indrajit Lankesh,Kannada,0,"V. Ravichandran,Chandan Kumar,Sangeetha,Sudeep,P. Ravi Shankar,Sadhu Kokila,Srujan Lokesh,Sunny Leone,Dhyan,Sudharani,Nikeesha Patel,Bullet Prakash,Shakeela,Kiran Chandan,Sangeeta Chauhan",http://www.imdb.com/title/tt4581032/?ref_=adv_li_tt
1672,M Dharmaraju M.A.,0,,1994,1994-03-10,Ravi Raja Pinisetty,Telugu,0,"Annapoorna,Mohan Babu,Satyanarayana Kaikala,Mallikharjunarao,M.S. Narayana,Narayana P.L.,Rallapalli,Rambha,Sakshi Ranga Rao,Ironleg Sastri,Srilakshmi,Sujatha,Surabhi",http://www.imdb.com/title/tt1431723/?ref_=adv_li_tt
1673,M.L.A.,0,,1957,,K.B. Tilak,Telugu,0,"Kongara Jaggaiah,Savitri,Gummadi,Ramana Murthi J.V.,Girija,Ramana Reddy,Suryakala,Perumallu",http://www.imdb.com/title/tt0327024/?ref_=adv_li_tt
1674,MLA Yedukondalu,0,,1983,,Narayana Rao Dasari,Telugu,0,"Narayana Rao Dasari,Sujatha,Gummadi",http://www.imdb.com/title/tt0262580/?ref_=adv_li_tt
1675,MSG 2 the Messenger,134,"Drama, Fantasy",2015,2015-09-18,Saint Gurmeet Ram Rahim Singh Ji Insan,Hindi,25000000,"Charanpreet Insan,Honeypreet Insan,RooheMeet Insan,Sahil Insan,Saint Gurmeet Ram Rahim Singh Ji Insan,Shan e Meet Insan,Sukhwinder Singh Insan,Rohit Khurana,Arpit Ranka,Kaynat Toor",http://www.imdb.com/title/tt4921860/?ref_=adv_li_tt
1676,MSG: The Messenger,197,"Action, Comedy, Drama",2015,2015-02-13,Jeetu Arora,Hindi,550000000,"Saint Gurmeet Ram Rahim Singh Ji Insan,Daniel Kaleb,Fllora Saini,Jayshree Soni,Olexandra Semen,Gaurav Gera,Raju Pandit,Jay Singh Rajpoot",http://www.imdb.com/title/tt4107858/?ref_=adv_li_tt
1677,Maa Aavida Meeda Vottu Mee Aavida Chala Manchidi,0,Drama,2001,2001-02-04,,Telugu,0,"Brahmanandam,Srinivasa Rao Kota,Sriram L.B.,Laya,Mallikharjunarao,M.S. Narayana,Raasi,Prakash Raj,Srikanth,Naveen Vadde",http://www.imdb.com/title/tt1575621/?ref_=adv_li_tt
1678,Maa Alludu Verygood,0,Romance,2003,2003-12-06,,Telugu,20000000,"Brahmanandam,Radhika Chaudhari,Ramya Krishnan,Mounika,Allari Naresh,Rajendraprasad",http://www.imdb.com/title/tt1579802/?ref_=adv_li_tt
1679,Maa Ayana Bangaram,0,Drama,1997,,Mohan Gandhi,Telugu,0,"Dr. Rajashekar,Soundarya",http://www.imdb.com/title/tt0834112/?ref_=adv_li_tt
1680,Maa Ayana Chanti Pilladu,0,Comedy,2008,2008-07-28,,Telugu,31000000,"Sivaji,Meera Jasmine,Sangeetha,Brahmanandam",http://www.imdb.com/title/tt1583312/?ref_=adv_li_tt
1681,Maa Babu,0,,1960,,T. Prakash Rao,Telugu,0,"M.N. Rajam,Akkineni Nageshwara Rao,Savitri",http://www.imdb.com/title/tt0254537/?ref_=adv_li_tt
1682,Maa Balaji,0,Family,1999,1999-09-23,Kodi Ramakrishna,Telugu,30000000,"Naveen Vadde,Maheshwari,Laya,Sishwa,Brahmanandam,Satyanarayana Kaikala,Vinod Kumar",http://www.imdb.com/title/tt1575622/?ref_=adv_li_tt
1683,Maa Bhoomi,158,Drama,1979,1979,Goutam Ghose,Telugu,0,"Sai Chand,Rami Reddy,Kakarala,Bhoopal Reddy,Yadagiri,Hamsa,Pokala,Rajeshwari,Prasad Rao,Pradeep Kumar,Lakshmana Rao",http://www.imdb.com/title/tt0137925/?ref_=adv_li_tt
